application_id,candidate_id,company,role,location,source,applied_at,screening_passed,shortlisted,verified_shortlist,interviewed,offer_received,hired,current_stage
APP00446,CAND00446,DataNova,Business Analyst,Mumbai,Campus,2026-07-01 00:00:00,True,True,False,False,False,False,Shortlisted
APP00483,CAND00483,BrightWorks,Product Analyst,Delhi,Company Website,2026-07-01 01:00:00,True,False,False,False,False,False,Screened
APP00963,CAND00963,InsightHub,Data Analyst,Gurugram,Job Portal,2026-07-01 02:00:00,False,False,False,False,False,False,Applied
APP00133,CAND00133,DataNova,Business Analyst,Mumbai,Job Portal,2026-07-01 03:00:00,True,True,True,True,True,True,Hired
APP00339,CAND00339,InsightHub,Product Analyst,Bengaluru,Company Website,2026-07-01 04:00:00,True,True,True,True,False,False,Interviewed
APP00530,CAND00530,InsightHub,BI Analyst,Bengaluru,LinkedIn,2026-07-01 05:00:00,True,True,True,True,True,False,Offer
APP00066,CAND00066,DataNova,BI Analyst,Pune,Referral,2026-07-01 06:00:00,True,True,True,True,True,True,Hired
APP00678,CAND00678,BrightWorks,BI Analyst,Gurugram,Company Website,2026-07-01 07:00:00,True,False,False,False,False,False,Screened
APP00092,CAND00092,DataNova,Product Analyst,Mumbai,LinkedIn,2026-07-01 08:00:00,True,False,False,False,False,False,Screened
APP00343,CAND00343,NextGen Labs,Marketing Analyst,Hyderabad,Job Portal,2026-07-01 09:00:00,False,False,False,False,False,False,Applied
APP00604,CAND00604,InsightHub,BI Analyst,Bengaluru,Job Portal,2026-07-01 10:00:00,False,False,False,False,False,False,Applied
APP00062,CAND00062,InsightHub,Product Analyst,Hyderabad,Job Portal,2026-07-01 11:00:00,False,False,False,False,False,False,Applied
APP00684,CAND00684,BrightWorks,Business Analyst,Hyderabad,Referral,2026-07-01 12:00:00,False,False,False,False,False,False,Applied
APP00728,CAND00728,DataNova,Product Analyst,Hyderabad,LinkedIn,2026-07-01 13:00:00,False,False,False,False,False,False,Applied
APP00152,CAND00152,InsightHub,Data Analyst,Bengaluru,Job Portal,2026-07-01 14:00:00,True,False,False,False,False,False,Screened
APP00056,CAND00056,InsightHub,Business Analyst,Bengaluru,Campus,2026-07-01 15:00:00,False,False,False,False,False,False,Applied
APP00558,CAND00558,NextGen Labs,Business Analyst,Delhi,Job Portal,2026-07-01 17:00:00,False,False,False,False,False,False,Applied
APP00209,CAND00209,DataNova,BI Analyst,Pune,Job Portal,2026-07-01 19:00:00,True,True,True,True,False,False,Interviewed
APP00068,CAND00068,DataNova,Marketing Analyst,Hyderabad,LinkedIn,2026-07-01 20:00:00,True,False,False,False,False,False,Screened
APP00249,CAND00249,DataNova,BI Analyst,Delhi,Campus,2026-07-01 21:00:00,False,False,False,False,False,False,Applied
APP00085,CAND00085,NextGen Labs,Data Analyst,Hyderabad,Company Website,2026-07-01 22:00:00,True,True,True,True,True,True,Hired
APP00153,CAND00153,BrightWorks,Business Analyst,Pune,Job Portal,2026-07-01 23:00:00,True,False,False,False,False,False,Screened
APP00212,CAND00212,DataNova,Business Analyst,Hyderabad,Referral,2026-07-02 01:00:00,True,True,True,True,True,True,Hired
APP00795,CAND00795,BrightWorks,BI Analyst,Pune,Job Portal,2026-07-02 02:00:00,True,False,False,False,False,False,Screened
